section,title,institution,division,department,salary_range,agency_insertion_num,application_deadline,keywords,description_date
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Lecturer/Assistant Professor in Residence,University of Nevada Las Vegas,Lee Business School,Economics,competitive,,2022-01-31 00:00:00,General Economics Teaching ,
US: Other Academic (Visiting or Temporary),Teaching Assistant Professer,University of North Carolina at Chapel Hill,College of Arts and Sciences,Economics,Commensurate with Education and Experience,,2021-11-01 00:00:00,Economics,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Chief Economist,University of North Carolina at Chapel Hill,Frank H. Kenan Institute of Private Enterprise at UNC Kenan-Flagler Business School,,,168605,2022-01-31 00:00:00,Labor Economics/Finance/Economic Policy/Chief Economist,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor,University of Notre Dame,College of Arts and Letters,Economics,Compensation is competitive,,2022-04-01 00:00:00,,2021-11-15
US: Other Academic (Visiting or Temporary),Research Professor - LEO,University of Notre Dame,College of Arts and Letters,Economics,,,2022-01-31 00:00:00,Economics/Research/Mission/Poverty/Statistics/Mathematics/Crime/Violence/Conflict/Education/Health/Crime Economics/Conflict Economics/Education Economics/Health Economics,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Senior Faculty with Tenure,University of Notre Dame,College of Arts and Letters,Economics,Compensation is competitive,,2022-01-31 00:00:00,,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant/Associate/Full Professor in Global Health Economics,University of Notre Dame,Keough School of Global Affairs,,,,2022-09-30 00:00:00,Health Economics,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant/Associate/Full Professor in Sustainable Energy Policy,University of Notre Dame,Keough School of Global Affairs,,,,2022-10-15 00:00:00,Energy/Sustainable Energy/Energy Policy/Sustainable Development,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Nancy and David Petrone Endowed Chair in Economics,University of Oregon ,Social Sciences,Economics,,,2022-03-30 00:00:00,,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor of Economics,University of Pennsylvania,School of Arts and Sciences,Economics,,,2022-01-31 00:00:00,,2021-11-15
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","Assistant, Associate, or Full Professor of Real Estate (Tenure Track) 2021-2022",University of Pennsylvania,The Wharton School - Real Estate,,,2505799,2022-01-31 00:00:00,,2021-11-15
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Business Economics and Public Policy Department Faculty,University of Pennsylvania,Wharton School,Business Economics and Public Policy Department,,2413186,2022-07-31 00:00:00,,2021-11-15
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","Open Rank ""Associate/Professor""",University of Pittsburgh,Dietrich School of Arts &amp; Sciences,Economics,Negotiable,,2022-01-31 00:00:00,Experimental economics,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant/Associate/Full Professor,University of Science and Technology of China ,,,,,2022-01-31 00:00:00,"Finance, Business Data analytics, Management, Technology Innovation and Entrepreneurship",
US: Other Academic (Visiting or Temporary),Post Doctoral Fellow,University of South Carolina,Arnold School of Public Health,"Health Promotion, Education and Behavior",,,,"health economics, health policy, public health ",
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant/Associate Professor,University of South Carolina,Darla Moore School of Business,Economics,,,2021-11-17 00:00:00,Development/International/Environmental/Health,2021-11-17
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor of Finance,University of Southern Denmark ,Finance,Department of Business and Management,,,2021-08-31 00:00:00,Finance,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)","Professor in Strategic Organization Design at the Department of Business &amp; Management, SDU",University of Southern Denmark,The Research Unit Strategic Organization Design,Department of Business &amp; Management,,112893,2021-09-30 00:00:00,Strategic Organization Design/mathematical models,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professorship (Tenure-Track) in Corporate Finance (100%),University of St. Gallen,,School of Finance,,,2021-09-20 00:00:00,Finance /Economics/Management/Financial Planning ,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professorship (Tenure-Track) in Financial Technology (100%),University of St. Gallen,,School of Finance,,,2021-09-20 00:00:00,Finance /Economics/Management /Information Systems,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professorship (Tenure-Track) in Sustainable Finance (100%),University of St. Gallen,,School of Finance,,,2021-09-20 00:00:00,Finance/Economics/Management /Sustainability,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Lecturer (equivalent to Assistant Professor) in Economics,University of Sydney,School of Economics,Economics,"AU$129,702 – $154,018",,2021-11-28 00:00:00,Economics/Sydney/Australia/Lecturer/Assistant Professor/Research,
US: Other Academic (Visiting or Temporary),Postdoctoral Research Position – International Trade and Trade Policy Analyst,University of Tennessee at Knoxville ,University of Tennessee Institute of Agriculture,Department of Agricultural and Resource Economics,"$70,000 (US) annually - negotiable for highly qualified candidates.",,2022-10-31 00:00:00,International Trade/Trade Policy/Agricultural Economics,
US: Other Academic (Visiting or Temporary),Population Wellbeing Initiative Postdoctoral Scholar,University of Texas at Austin,Population Wellbeing Initiative ,Population Research Center and Economics Department,"$100,000 - $115,000 and benefits, depending on qualifications and market conditions",,2021-11-19 00:00:00,population/social welfare/social discounting/fertility/long-term population growth/macroeconomic growth/long-term depopulation/population ethics/social policy/program and policy evaluation,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Population Wellbeing Initiative Research Scientist,University of Texas at Austin,Population Wellbeing Initiative,Population Research Center and Economics Department,"Competitive, contingent on qualifications, discipline, and market conditions",,2021-11-19 00:00:00,population/social welfare/social discounting/fertility/long-term population growth/macroeconomic growth/long-term depopulation/population ethics/social policy/program and policy evaluation,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor,University of Texas at Dallas,"School of Economic, Political, and Policy Sciences",Economics,Competitive,,2021-11-10 00:00:00,International Macroeconomics/International Finance/Open Economy Macroeconomics,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor of Economics,University of Texas at El Paso,,Department of Economics and Finance,Salary and Benefits are AACSB-Competitive ,,2021-12-31 00:00:00,Open Field ,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","Associate Professor or Professor and  Director, Center for Free Enterprise",University of Texas at El Paso,College of Business Administration,Economics and Finance,,,2022-05-31 00:00:00,,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor – Economic Inequality and Societies,University of Toronto,Faculty of Arts &amp; Science,Munk School of Global Affairs &amp; Public Policy,,,2021-10-11 00:00:00,Economic Inequality and Societies ,2021-10-11
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor – Innovation and Public Policy,University of Toronto,Faculty of Arts &amp; Science,Munk School of Global Affairs &amp; Public Policy,,,2021-10-11 00:00:00,Innovation and Public Policy,2021-10-11
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Associate Professor – Economic Inequality and Societies,University of Toronto,Faculty of Arts &amp; Science,Munk School of Global Affairs &amp; Public Policy,,,2021-10-11 00:00:00,Economic Inequality and Societies,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Associate Professor – Innovation and Public Policy,University of Toronto,Faculty of Arts &amp; Science,Munk School of Global Affairs &amp; Public Policy,,,2021-10-11 00:00:00,Innovation and Public Policy,2021-10-11
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor,University of Toronto Rotman School of Management,Strategic Management,,,,2021-10-04 00:00:00,Strategic Management,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant / Associate / Full Professor,University of Utah,,Economics,,,2022-01-31 00:00:00,"Economics of Race, Class, and Gender/Feminist Economics/US Economic History",
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor,University of Utah,,Economics,,,2021-11-30 00:00:00,"Monetary, Financial and Trade Dimensions /Global Integration and International Economics/Financial and International Macroeconomics/Financial Globalization ",
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor,University of Victoria,,Economics,,,2021-11-01 00:00:00,Econometrics /Environmental/Climate/Resource Economics /International Economics ,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Teaching Professor,University of Victoria,Faculty of Social Sciences,Economics,,,2022-01-15 00:00:00,Econometrics,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","Tenure Track, Open Rank Professor, or Non-tenure Track",University of Virginia,Darden School of Business,Global Economies and Markets,,,2022-01-31 00:00:00,Macroeconomics/International Macroeconomics/International Finance/Growth and Development,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor of Health Economics (Tenure Eligible),University of Washington,School of Pharmacy,The CHOICE Institute ,Competitive ,,2022-07-31 00:00:00,Health Economics/HEOR/Pharmaceutical Markets/Pharmacy/Drug pricing/Policy/Econometrics,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Endowed Assistant Professor in Health Decision Sciences,University of Washington,School of Pharmacy,The CHOICE Institute ,Competitive ,,2022-07-31 00:00:00,Decision Sciences/Health Economics/Pharmaceutical Markets/Pharmacy/Drug pricing/Policy/HEOR,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor of Economics,University of Washington Tacoma,"Division of Politics, Philosophy &amp; Public Affairs (PPPA)",The School of Interdisciplinary Arts and Sciences,,,2022-07-31 00:00:00,Economics/International/Development//F00/F10/F5/F6/O1/O5,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Two Assistant Professor Positions in Economics,University of Waterloo,,Economics,"$100,000 to $150,000",,2021-11-01 00:00:00,econometrics/theory/applied econometrics,2021-11-01
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor of Economics,University of Wisconsin - Madison,,Economics,,,2022-01-31 00:00:00,,2021-11-15
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Associate/Full Professor of Economics,University of Wisconsin - Madison,,Economics,,,2021-10-17 00:00:00,,2021-10-17
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor of Economics,University of Wisconsin Oshkosh,College of Business,Economics,"$96,000 - $110,600",,2022-07-31 00:00:00,Macroeconomics/Time series analysis/Predictive analytics,2021-11-29
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Teaching Professor / Professor of Practice / Lecturer,University of Wisconsin Oshkosh,College of Business,Economics,"$71,600 - $77,700",,2022-07-31 00:00:00,Undergraduate economics and statistics courses/Mentoring and advising undergraduate students,2021-11-29
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor ,University of Wisconsin-Eau Claire,Arts and Science ,Economics,,,2021-12-01 00:00:00,,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor,University of Wisconsin-Madison,College of Agricultural and Life Sciences,Agricultural and Applied Economics,,,2021-11-16 00:00:00,Water/Water Quality/Water Policy,2021-11-16
US: Other Academic (Visiting or Temporary),Postdoctoral Scholar,University of Wisconsin-Madison,College of Letters &amp; Science,Center for Demography of Health and Aging,"$50,000-60,000",,2022-01-31 00:00:00,Health Economics/Economics of Aging/Demographic Economics,2022-02-01
Full-Time Nonacademic,Economist/Senior Economist,UTokyo Economic Consulting Inc. ,,,,,2022-01-31 00:00:00,Industrial Organization /Econometrics /Applied Microeconomics /Machine Learning /Reinforcement Learning /Economic Consulting /Pricing /Marketing /Antitrust Economics ,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor in Capital Markets from a Historical Perspective ,Vanderbilt University,College of Arts &amp; Science,Economics,,,2021-11-30 00:00:00,macro-economic history/financial history/capital markets ,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Associate Professor in Applied Microeconomics ,Vanderbilt University,College of Arts &amp; Science,Economics,,,2022-07-31 00:00:00,Education/Environmental/Health/Labor/Public,
"Other Nonacademic (Temporary, Part-Time, Non-Salaried, Consulting, Etc.)",Quantitative Fellowship 2021-2022,Viking Global Investors ,,,,,,Quantitative Fellowship ,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor of Economics,Wake Forest University,,Economics,,,2021-11-15 00:00:00,Macroeconomics,2021-11-15
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Teaching Professor of Economics,Wake Forest University,,Economics,,,2021-10-15 00:00:00,,2021-10-15
Full-Time Nonacademic,Economic Analyst,Walmart,Corporate Affairs,,Base + Bonus + RSUs ,,2021-08-15 00:00:00,,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Tax Study Analyst - Tax Policy Specialist 4,Washington State Department of Revenue,,," $6,368.00 - $8,359.00 Monthly",,2022-01-31 00:00:00,,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor,Washington University in St. Louis,Arts and Sciences,Economics,,,2021-11-15 00:00:00,Microeconomics,2021-11-15
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",James Langenfeld Professorship in Industrial Organization,Washington University in St. Louis,Arts and Sciences,Economics,Negotiable,,2021-11-15 00:00:00,Industrial Organization and Applied Microeconomics,2021-11-15
Full-Time Nonacademic,Economist,Welch Consulting,,,,,2022-07-31 00:00:00,Labor Economics/Empirical Microeconomics/Applied Econometrics ,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor of Economics,Wellesley College,,Economics,,,2021-11-15 00:00:00,Econometrics/Statistics/Applied microeconomics,2021-11-15
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant/Associate/Full Professor in Economics,Wenzhou-Kean University,,,,,2022-01-31 00:00:00,,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor or Associate Professor in Economics,West Virginia University,,Economics,,,2022-01-31 00:00:00,Applied Microeconomics/Urban Economics/Regional Economics,
Full-Time Nonacademic,Macro Research Associate,Wolfe Research LLC,Equity Research,"Quantitative Research, ESG, and Portfolio Strategy","$80,000 to $120,000",,2022-07-31 00:00:00,Macroeconomic research/Econometrics and time series analysis/Economic policy/Investment strategy/Asset allocation/Investment bank research,
"Other Nonacademic (Temporary, Part-Time, Non-Salaried, Consulting, Etc.)",Access to Justice – Senior Researcher ,World Justice Project,,,,,2021-11-01 00:00:00,Access to Justice/Rule of Law,2021-10-06
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor/Associate Professor/Professor,Wuhan University,School of Economics and Management,,,,2021-11-25 00:00:00,,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Tenured &amp; Tenure Track Open Rank Full Time Faculty,"Xiamen University, China","Wang Yanan Institute for Studies in Economics (WISE) &amp; School of Economics, Gregory and Paula Chow Center for Economic Research",,,,2021-11-30 00:00:00,Economic History/Finance/Health Economics/International Economics/Trade/Law and Economics/Macroeconomics/Political Economics/Public economics/Econometrics/Statistics/Data Science,2021-11-30
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","Assistant/Associate/Full Professor, Political Science",Yale University,Faculty of Arts &amp; Sciences,Political Science,Competitive,,2022-01-31 00:00:00,Political Science/American Politics/Comparative Political Economy/Political Economy/International Relations/International Political Economy,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Tenure-Track Faculty Position,Zhejiang University,,School of Economics,,,2021-11-30 00:00:00,Chinese Economy/Digital Economics/Finance/Labor Economics/Econometrics/Public Finance and Taxation/International Trade /Industrial Organization,2021-10-06
